Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63071279,"Death Maker (Lark Morgan, #1)",J.C. McKenzie,"McKenzie, J.C.",,"=""1990143253""","=""""",0,4.23,JCM Publications,Kindle Edition,300,2023,2023,,2023/02/22,,,read,,,,1,0
75546616,"A Court of Hearts and Hunger (Wicked Darlings, #2)",Rebecca F. Kenney,"Kenney, Rebecca F.",,"=""""","=""""",0,3.92,Rebecca F. Kenney,Kindle Edition,443,2023,2023,,2023/04/04,to-read,to-read (#15),to-read,,,,0,0
63257044,"A Court of Sugar and Spice (Wicked Darlings, #1)",Rebecca F. Kenney,"Kenney, Rebecca F.",,"=""""","=""""",0,3.42,Rebecca F. Kenney,Kindle Edition,373,2022,2022,,2023/04/04,to-read,to-read (#14),to-read,,,,0,0
80988914,"Healer to the Ash King (Dark Rulers, #5)",Rebecca F. Kenney,"Kenney, Rebecca F.",,"=""""","=""""",0,3.88,,Unknown Binding,,2022,,,2023/04/03,to-read,to-read (#13),to-read,,,,0,0
122813947,"The Fae Princes (Vicious Lost Boys, #4)",Nikki St. Crowe,"Crowe, Nikki St.",,"=""""","=""""",0,3.95,Blackwell House LLC,Kindle Edition,226,2023,2023,,2023/03/27,,,read,,,,1,0
60310757,"Lightlark (Lightlark, #1)",Alex Aster,"Aster, Alex",,"=""1419760866""","=""9781419760860""",0,3.85,Harry N. Abrams,Hardcover,416,2022,2022,,2023/03/27,to-read,to-read (#12),to-read,,,,0,0
45287676,"Knightmare Arcanist (Frith Chronicles, #1)",Shami Stovall,"Stovall, Shami",,"=""0998045233""","=""9780998045238""",0,4.08,Capital Station Books,Kindle Edition,360,2019,2019,,2023/03/27,to-read,to-read (#11),to-read,,,,0,0
62949147,"A Dawn of Onyx (The Sacred Stones, #1)",Kate  Golden,"Golden, Kate",,"=""""","=""""",0,3.92,The Daisy Press,Paperback,456,2022,2022,,2023/03/27,to-read,to-read (#10),to-read,,,,0,0
62905627,Bride of Scars & Song (Daughters of the Fae Book 1),Joss Fitch,"Fitch, Joss",,"=""""","=""""",0,3.99,,Kindle Edition,215,2022,2022,,2023/03/27,to-read,to-read (#9),to-read,,,,0,0
75452482,The Archer,Ruby Rodrigo,"Rodrigo, Ruby",,"=""""","=""""",0,3.64,,Kindle Edition,226,2022,2022,,2023/03/27,to-read,to-read (#8),to-read,,,,0,0
62987104,"Lady of Darkness (Lady of Darkness, #1)",Melissa K. Roehrich,"Roehrich, Melissa K.",,"=""""","=""9798549989214""",0,4.13,,Paperback,525,2022,2020,,2023/03/27,to-read,to-read (#7),to-read,,,,0,0
60749888,"From Tormented Tides (From Tormented Tides, #1)",Val E. Lane,"Lane, Val E.",,"=""""","=""9798218015787""",0,3.70,Wave Song Publishing,Paperback,322,2022,2022,,2023/03/27,to-read,to-read (#6),to-read,,,,0,0
54659771,"Neon Gods (Dark Olympus, #1)",Katee Robert,"Robert, Katee",,"=""1728231736""","=""9781728231730""",0,3.69,Sourcebooks Casablanca,Paperback,380,2021,2021,,2023/02/07,to-read,to-read (#5),to-read,,,,0,0
59122600,"Court of Ice and Ash (The Broken Kingdoms, #2)",L.J. Andrews,"Andrews, L.J.",,"=""""","=""""",0,4.18,Victorious ,ebook,324,2021,2021,,2023/02/04,to-read,to-read (#4),to-read,,,,0,0
59112905,Win Lose Kill Die,Cynthia Murphy,"Murphy, Cynthia",,"=""0702304948""","=""9780702304941""",0,3.59, Scholastic ,Paperback,308,2022,2022,,2023/02/03,to-read,to-read (#3),to-read,,,,0,0
60812577,"A City of Flames (A City of Flames, #1)",Rina Vasquez,"Vasquez, Rina",,"=""""","=""""",0,3.89,,Paperback,460,2022,2022,,2023/01/15,to-read,to-read (#2),to-read,,,,0,0
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""""","=""""",0,4.26,William Morrow Paperbacks,Mass Market Paperback,491,2006,1990,,2023/01/15,to-read,to-read (#1),to-read,,,,0,0
60058774,Anastasia,Sophie Lark,"Lark, Sophie",Line M. Eriksen,"=""""","=""""",5,4.07,,Kindle Edition,686,2022,2022,,2023/01/15,"fantasy, science-fiction, romance","fantasy (#1), science-fiction (#1), romance (#1)",read,,,,1,0
